City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
boromo,0,BF,1551199089,16,11.74,-2.93,85.96,5.91
chitral,76,PK,1551199089,79,35.85,71.79,9.46,1.21
abu kamal,0,SY,1551199005,29,34.45,40.92,60.27,16.87
talara,0,PE,1551196800,290,-4.58,-81.27,62.6,6.02
labuhan,68,ID,1551199027,95,-2.54,115.51,73.86,2.48
brunsbuttel,20,DE,1551198933,45,53.9,9.15,55.0,2.24
saldanha,0,PT,1551199089,47,41.42,-6.55,58.02,6.85
gatton,40,AU,1551199070,88,-27.56,152.28,66.99,4.7
goderich,12,CA,1551199042,70,43.74,-81.71,18.0,17.0
chengde,76,CN,1551199090,53,40.97,117.93,28.09,2.55
ostrovnoy,0,RU,1551199029,81,68.05,39.51,13.02,16.13
hayden,1,US,1551199084,56,47.77,-116.79,15.01,18.34
bathsheba,40,BB,1551196800,62,13.22,-59.52,84.2,20.8
ilo,0,PE,1551196800,69,-17.65,-71.34,77.0,11.41
martin,1,US,1551198939,77,36.34,-88.85,57.99,4.7
kwakoa,0,TZ,1551199091,48,-3.77,37.72,77.14,10.83
tshikapa,12,CD,1551199091,96,-6.42,20.79,74.67,2.89
iqaluit,90,CA,1551198178,70,63.75,-68.52,-2.01,2.82
mazagao,75,BR,1551196800,62,-0.12,-51.29,87.8,13.87
vezirkopru,40,TR,1551198000,86,41.14,35.45,37.4,14.99
union,1,US,1551199085,68,47.36,-123.1,37.0,8.05
mayumba,20,GA,1551199092,92,-3.44,10.65,81.96,7.07
leningradskiy,0,RU,1551198886,68,69.38,178.42,-1.39,11.77
pilar,0,AR,1551198906,28,-34.46,-58.91,70.0,5.82
chapais,90,CA,1551197100,57,49.78,-74.86,-11.21,14.99
goure,92,NE,1551199093,31,13.98,10.27,78.54,4.9
ayorou,0,NE,1551199093,11,14.73,0.92,79.39,6.24
el castillo,8,CO,1551199093,22,3.56,-73.79,90.82,4.38
sikeston,1,US,1551198900,53,36.88,-89.59,53.01,4.5
yulara,0,AU,1551196800,14,-25.24,130.99,84.2,8.05
necochea,92,AR,1551198985,39,-38.55,-58.74,66.0,7.0
bardstown,1,US,1551198946,48,37.81,-85.47,52.0,4.38
san luis,24,AR,1551199094,36,-33.3,-66.34,80.02,4.5
aykhal,64,RU,1551199043,68,65.95,111.51,8.2,7.85
narasannapeta,0,IN,1551199094,97,18.42,84.04,71.65,4.0
muros,0,ES,1551198612,43,42.77,-9.06,75.0,3.36
santa maria,75,BR,1551193200,69,-29.69,-53.81,73.4,6.93
marfino,75,RU,1551198071,86,56.07,37.56,35.6,13.42
skala,20,GR,1551196200,62,36.85,22.66,57.2,11.1
port lincoln,0,AU,1551199095,97,-34.72,135.86,66.12,9.64
lasa,40,CY,1551198657,77,34.92,32.53,60.8,18.34
sola,0,FI,1551198000,74,62.78,29.36,28.4,3.36
killybegs,0,IE,1551199024,51,54.63,-8.45,60.8,4.7
emba,40,CY,1551198657,77,34.81,32.42,60.8,18.34
douentza,0,ML,1551199096,17,15.01,-2.95,76.74,6.4
kuusamo,90,FI,1551198000,68,65.96,29.19,24.8,5.82
mtwara,75,TZ,1551196800,94,-10.28,40.18,75.2,5.82
lincoln,1,US,1551199059,65,40.8,-96.67,12.99,14.99
portland,20,US,1551199086,73,45.52,-122.67,35.01,9.75
bitung,20,ID,1551196800,94,1.44,125.19,75.2,3.36
salalah,0,OM,1551196200,74,17.01,54.1,78.8,4.7
gao,0,ML,1551199097,18,16.28,-0.04,77.59,5.39
katherine,64,AU,1551196800,74,-14.47,132.26,80.6,4.7
olivet,20,FR,1551196800,32,47.87,1.9,68.0,6.93
sorland,75,NO,1551198000,100,67.67,12.69,44.6,26.4
jiuquan,0,CN,1551199097,68,39.73,98.49,-3.68,3.78
tiarei,20,PF,1551198910,78,-17.53,-149.33,78.8,3.36
smoky lake,0,CA,1551198902,78,54.11,-112.47,-5.01,4.0
kurchum,0,KZ,1551199098,59,48.57,83.65,9.55,6.91
nadadores,0,MX,1551198904,56,27.03,-101.59,66.0,1.01
grootfontein,40,NA,1551193200,31,-19.56,18.1,89.6,5.82
khuzdar,0,PK,1551199098,43,27.8,66.62,41.68,7.63
fort-shevchenko,36,KZ,1551199098,100,44.51,50.26,36.28,6.51
callander,0,GB,1551199026,54,56.24,-4.21,57.2,2.24
northam,0,GB,1551198688,71,51.04,-4.21,60.8,8.05
namatanai,32,PG,1551199099,100,-3.66,152.44,81.19,7.63
baoding,12,CN,1551199099,76,38.86,115.49,22.96,1.1
gornopravdinsk,92,RU,1551199099,85,60.06,69.92,21.25,7.81
guerrero negro,24,MX,1551199099,50,27.97,-114.04,65.44,2.89
urubicha,92,BO,1551199100,99,-15.63,-63.08,73.36,3.33
alyangula,36,AU,1551193200,94,-13.85,136.42,77.0,5.23
ossora,88,RU,1551199100,96,59.24,163.07,1.41,11.43
ambilobe,100,MG,1551199100,97,-13.19,49.05,75.66,3.33
sibolga,8,ID,1551199003,96,1.74,98.78,68.91,1.59
te anau,92,NZ,1551199100,92,-45.41,167.72,52.89,17.36
dalnegorsk,0,RU,1551199100,40,44.56,135.58,21.61,7.07
daru,0,SL,1551199101,22,7.99,-10.85,96.13,4.38
abu dhabi,0,AE,1551196800,64,24.47,54.37,68.0,8.05
valparaiso,40,US,1551199085,67,41.47,-87.06,25.0,11.41
shurugwi,8,ZW,1551199101,57,-19.67,30.0,75.12,9.31
kyshtovka,80,RU,1551199101,80,56.56,76.62,9.91,3.04
kendari,32,ID,1551199101,90,-3.99,122.52,75.79,4.27
semnan,0,IR,1551196800,42,35.58,53.39,48.2,4.7
kawalu,20,ID,1551199101,96,-7.38,108.21,68.82,1.99
egvekinot,76,RU,1551199102,87,66.32,-179.17,24.72,13.4
kotaparh,0,IN,1551199102,60,19.15,82.35,72.37,8.3
itarema,76,BR,1551199102,88,-2.92,-39.92,83.53,6.4
ambatolampy,40,MG,1551196800,88,-19.39,47.43,69.8,8.05
kautokeino,76,NO,1551199102,82,69.01,23.04,21.34,6.06
banda aceh,0,ID,1551198929,91,5.56,95.32,76.56,3.83
laguna,20,MX,1551195780,51,27.52,-110.01,59.0,3.49
cap malheureux,75,MU,1551198842,79,-19.98,57.61,84.2,17.22
sao gabriel da cachoeira,24,BR,1551199103,73,-0.13,-67.09,86.23,3.0
devonport,92,AU,1551198851,69,-41.18,146.36,61.0,2.89
pervomayskiy,88,RU,1551199103,94,53.24,40.29,32.23,9.6
qaqortoq,20,GL,1551196200,43,60.72,-46.03,33.8,6.93
batemans bay,0,AU,1551198912,81,-35.71,150.18,66.0,1.99
la union,0,GT,1551199104,57,14.97,-89.29,77.91,3.6
hellvik,20,NO,1551199089,81,59.92,5.78,48.0,5.82
resistencia,75,AR,1551196800,65,-27.45,-58.99,80.6,12.75
baghdad,0,IQ,1551196800,52,33.3,44.38,64.4,14.99
saint-joseph,0,FR,1551199083,42,43.56,6.97,66.0,4.7
taloda,0,IN,1551199105,55,21.56,74.21,70.75,7.14
umkomaas,8,ZA,1551198956,82,-30.21,30.8,73.0,1.01
iwanai,56,JP,1551199105,98,42.97,140.51,32.59,15.86
lata,80,IN,1551198879,97,30.78,78.62,29.22,1.77
bellinzona,0,CH,1551198692,58,46.19,9.02,64.4,1.12
weatherford,90,US,1551198889,82,32.76,-97.8,62.01,8.05
taltal,0,CL,1551199106,64,-25.41,-70.49,71.02,4.27
youghal,20,IE,1551198840,81,51.95,-7.85,53.01,14.99
saint-louis,0,CH,1551199041,41,47.59,7.56,62.6,6.93
muzhi,8,RU,1551199106,63,65.4,64.7,0.37,8.81
saquarema,20,BR,1551196800,62,-22.93,-42.51,87.8,9.17
ferme-neuve,36,CA,1551199106,46,46.7,-75.45,2.67,11.77
nome,90,US,1551199106,93,30.04,-94.42,59.0,8.05
port hedland,0,AU,1551196800,88,-20.31,118.58,82.4,6.93
comodoro rivadavia,40,AR,1551196800,33,-45.87,-67.48,73.4,12.75
